Date,Open,High,Low,Close,Adj Close,Volume
2020-05-05,50.910000,51.410000,48.970001,48.980000,46.514992,3075200
2020-05-06,49.389999,49.730000,48.599998,48.919998,46.458008,3292400
2020-05-07,50.200001,50.950001,49.880001,50.369999,47.835037,3621500
2020-05-08,50.740002,51.855000,50.119999,51.669998,49.069611,2213200
2020-05-11,51.060001,52.789001,50.790001,52.590000,49.943310,2451400
2020-05-12,53.070000,54.459999,52.110001,52.200001,49.572941,3084600
2020-05-13,52.000000,52.029999,49.209999,49.959999,47.445671,3978400
2020-05-14,49.020000,51.090000,48.090000,51.009998,48.442825,2113000
2020-05-15,50.990002,51.869999,50.480000,51.419998,48.832191,2787800
2020-05-18,53.730000,54.080002,52.150002,52.349998,49.715385,2425800
2020-05-19,52.450001,53.060001,51.360001,52.349998,49.715385,3033400
2020-05-20,53.250000,53.441002,52.040001,52.570000,49.924316,2686600
2020-05-21,52.279999,53.590000,51.520000,53.340000,50.655563,1652800
2020-05-22,53.560001,53.709999,52.020000,53.020000,50.351669,1880500
2020-05-26,54.950001,56.029999,54.279999,54.340000,51.605236,3178300
2020-05-27,55.740002,56.270000,54.299999,55.500000,52.706856,2763800
2020-05-28,55.980000,55.990002,54.134998,54.250000,51.519768,2972000
2020-05-29,54.279999,55.009998,53.720001,54.560001,51.814171,1981700
2020-06-01,54.730000,56.020000,54.320000,55.820000,53.010754,6931500
2020-06-02,56.369999,57.240002,56.139999,57.090000,54.216846,5336000
2020-06-03,57.810001,59.730000,57.810001,58.549999,55.603363,5723400
2020-06-04,58.430000,59.680000,57.779999,57.790001,54.881611,5910000
2020-06-05,59.669998,60.500000,59.139999,59.400002,56.410587,2512800
2020-06-08,60.630001,60.930000,59.180000,59.730000,56.723976,2665000
2020-06-09,58.560001,60.230000,58.150002,59.459999,56.467567,3068300
2020-06-10,59.450001,59.480000,57.110001,57.619999,54.720165,2498900
2020-06-11,54.549999,56.709999,54.150002,55.220001,52.440948,2319400
2020-06-12,57.000000,57.182999,54.270000,55.759998,52.953773,1530900
2020-06-15,54.000000,56.660000,53.500000,56.220001,53.390621,1850700
2020-06-16,57.439999,58.040001,55.590000,55.810001,53.496067,1723200
2020-06-17,56.230000,56.759998,55.450001,56.200001,53.869896,1415000
2020-06-18,56.000000,56.230000,55.410000,56.009998,53.687771,1202700
2020-06-19,56.650002,56.980000,54.005001,54.169998,51.924057,2128700
2020-06-22,54.110001,55.130001,53.950001,55.099998,52.815502,1229900
2020-06-23,55.730000,55.755001,54.560001,55.070000,52.786743,1389200
2020-06-24,54.529999,54.590000,52.820000,54.419998,52.163696,1821300
2020-06-25,53.869999,54.630001,53.090000,53.799999,51.569401,1382400
2020-06-26,53.439999,53.650002,52.169998,52.630001,50.447918,1689300
2020-06-29,52.869999,55.389999,52.630001,55.250000,52.959282,2729600
2020-06-30,55.029999,55.599998,54.020000,54.630001,52.364986,2038900
2020-07-01,54.720001,55.438000,54.119999,54.660000,52.393745,1397800
2020-07-02,54.900002,55.549999,54.279999,54.410000,52.154110,1456500
2020-07-06,55.459999,56.759998,55.040001,56.529999,54.186214,2333900
2020-07-07,55.980000,56.000000,54.580002,54.599998,52.336235,1281000
2020-07-08,54.500000,55.500000,54.330002,54.930000,52.652554,849500
2020-07-09,55.119999,55.259998,53.650002,54.419998,52.163696,1314300
2020-07-10,54.720001,55.099998,54.000000,55.049999,52.767574,878300
2020-07-13,55.240002,56.435001,54.189999,54.220001,51.971985,1476000
2020-07-14,53.810001,55.740002,53.599998,55.599998,53.294769,1436100
2020-07-15,56.799999,58.160000,56.457001,58.160000,55.748631,2226100
2020-07-16,57.490002,58.160000,57.330002,57.869999,55.470654,1221000
2020-07-17,58.020000,58.080002,57.270000,57.619999,55.231018,1201300
2020-07-20,57.430000,57.740002,56.439999,56.980000,54.617554,1218200
2020-07-21,57.619999,58.180000,56.880001,56.950001,54.588799,1138500
2020-07-22,56.869999,58.275002,56.660000,57.740002,55.346046,1112500
2020-07-23,57.470001,57.730000,56.410000,56.990002,54.627144,1151100
2020-07-24,56.570000,57.250000,56.250000,56.849998,54.492947,837200
2020-07-27,56.700001,56.959999,56.230000,56.490002,54.147873,1870100
2020-07-28,56.060001,56.330002,55.240002,55.570000,53.266014,2436300
2020-07-29,56.029999,57.250000,55.700001,56.880001,54.521706,1420200
